season,team,PTS40,OP_PTS40,PTS,OP_PTS,3P%,OP_3P%,2P%,OP_2P%,FT%,3PR,OP_3PR,FTR,OP_FTR,OREB%,DREB%,ASTR,OP_ASTR,TOVR,OP_TOVR,PFR,PFDR,AST-TOV_R_x,OP_AST-TOV_R_x,STLR,OP_STLR,BLKR,OP_BLKR,PACE,ORtg,DRtg,NETRtg,TS%,eFG%,OP_TS%,OP_eFG%,AST-TOV_R,OP_AST-TOV_R
2017,ZAL,80.52674897,79.53909465,2446,2416,42.2,36.48468708,54.30410298,51.05162524,77.55443886,28.68617326,41.79187535,34.25129088,37.11741792,32.70089286,69.32153392,66.36568849,69.43069307,18.95260905,16.45388198,33.37922191,30.83334905,1.462686567,1.607449857,8.344805476,9.900616667,5.162523901,8.205953339,69.82979424,115.3186113,113.9042375,1.41437381,61.21157709,57.11309433,57.96489101,52.77534363,1.608382693,1.990129345
2017,MIL,80.32786885,84.42622951,2450,2575,36.73758865,41.09816972,52.55731922,54.41751368,77.95786062,38.3360522,31.96808511,33.55084285,30.10638298,28.1496063,68.86597938,56.37426901,59.70307529,14.86652748,14.95973455,29.87286556,30.47871151,1.510971787,1.753894081,7.270151368,7.736186712,5.942142299,5.731922399,70.35278689,114.1786593,120.0041011,-5.825441802,58.19998045,53.74397817,60.65782177,56.96140552,1.71559148,1.841457801
2017,PAO,77.95884774,76.54320988,2368,2325,35.17786561,35.70219966,53.93772894,51.84563758,67.88830716,41.00486224,33.1463825,30.95623987,34.26808749,29.76303318,67.84274194,57.24299065,57.65983112,16.18593653,18.57864019,31.80888397,29.32234879,1.420289855,1.207070707,10.1807195,7.694184323,6.124161074,6.868131868,70.17218107,111.0965151,109.0791375,2.017377597,56.49800126,53.68187323,56.78373212,52.6591141,1.534182734,1.315887353
2017,BAS,82.9,79.1,2487,2373,39.86013986,35.99439776,55.88752197,53.06122449,75,38.58607663,38.78326996,25.90393956,28.73438349,30.47120419,71.7519685,64.49511401,63.50877193,17.58564862,16.79475966,28.09981949,27.58806781,1.571428571,1.504155125,8.420641271,9.53719039,8.251996451,7.029876977,71.64933333,115.7024024,110.3987941,5.303608315,60.27449835,57.43998409,57.46423844,53.69943333,1.750061715,1.713660633
2017,FNR,79.37704918,73.93442623,2421,2255,42.38410596,34.87698987,53.50877193,51.37111517,79.01459854,34.63302752,38.71148459,31.42201835,30.08403361,32.36282195,68.42629482,67.32101617,61.51930262,17.36415959,16.77885084,30.43605502,30.53360648,1.637640449,1.436046512,8.828406985,8.974734172,7.952468007,6.140350877,67.21967213,118.0860404,109.9892693,8.096771047,61.23818328,57.2063985,55.77015484,51.87807095,2.020293824,1.491453824
2017,KHI,77.93333333,78.4,2338,2352,35.69682152,37.44740533,52.47332687,50.57142857,74.50980392,44.2401298,40.44242768,27.58247701,36.92569484,29.71428571,65.26005888,65.54621849,66.66666667,16.80975536,19.04155903,31.53016259,28.1112293,1.542372881,1.326683292,10.25679988,9.402066555,8.571428571,6.304558681,70.19733333,111.0203616,111.6851542,-0.664792585,56.51029343,53.01672947,57.5016039,52.76690266,1.640519415,1.450030954
2017,BAR,81.86666667,80.13333333,2456,2404,38.23933975,34.2291372,54.93562232,52.52274607,74.02597403,38.42494715,36.89979123,24.41860465,29.17536534,28.91566265,69.77818854,66.99346405,61.00342075,16.83486154,15.17443684,29.47253842,26.0133203,1.684931507,1.626139818,8.394369315,9.08621294,5.541770058,6.35193133,72.27066667,113.2778628,110.8794716,2.398391233,58.76907381,55.93839499,55.60487117,51.98172212,1.850309449,1.889575191
2017,BAM,76.96666667,81.53333333,2309,2446,38.35403727,38.27893175,50.49954587,53.83244207,79.85989492,36.90544413,37.52783964,32.72206304,32.62806236,26.37021717,71.10423117,60.3985056,60.55684455,17.37648414,15.28178468,31.13485104,29.80186047,1.328767123,1.626168224,6.902986851,8.188370609,4.367201426,7.720254314,70.018,109.9241148,116.4462472,-6.522132404,57.84157205,53.22936287,59.72770278,55.41915751,1.45222907,1.776787749
2017,RED,77.76666667,83.83333333,2333,2515,34.14634146,41.0459588,49.44491887,55.4770318,75.08960573,38.65898376,35.79126489,29.22996333,34.88372093,32.97297297,67.2907489,56.91937425,66.17812852,15.29312614,17.80252455,32.90626213,29.49726807,1.464396285,1.561170213,9.611469371,8.001666619,6.272084806,5.892399658,70.402,110.4608771,119.0780565,-8.617179436,54.12805031,50.05726875,62.06610628,57.87111396,1.798942629,1.698263876
2017,MAL,78.58436214,81.218107,2387,2467,34.97884344,39.05852417,51.11662531,55.9926807,74.81617647,36.96558916,41.83076104,28.362878,22.67163385,35.9141791,68.50715746,62.81755196,62.56800871,16.78928504,16.69496321,25.46689304,29.56989247,1.528089888,1.624293785,9.102056216,8.677607998,5.763952425,5.541770058,69.80740741,112.5730994,116.3459725,-3.772873043,55.32214875,51.59620221,60.12311447,57.4828125,1.781955263,1.878304662
